Zupanija,broj_zarazenih,broj_umrlih,broj_aktivni
Sibensko-kninska,11571,101
Bjelovarsko-bilogorska,7353,72
Brodsko-posavska,9949,102
Dubrovacko-neretvanska,20127,88
Grad Zagreb,101442,1038
Istarska,10803,172
Karlovacka,8165,134
Koprivnicko-krizevacka,6182,103
Krapinsko-zagorska,8212,95
Licko-senjska,3146,36
Medimurska,14352,75
Osjecko-baranjska,19598,249
Pozesko-slavonska,4262,41
Primorsko-goranska,44390,218
Sisacko-moslavacka,13449,137
Splitsko-dalmatinska,65506,370
Varazdinska,17083,195
Viroviticko-podravska,3980,48
Vukovarsko-srijemska,8637,105
Zadarska,20340,116
Zagrebacka,29443,0
